age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,def_pd,def_qb_hur,def_sacks,def_solo,def_tfl,def_tot,defensive_td
21.0,72.0,193.0,,,,1,1,0,1,,0,0,,23.9,38.6,14.1,58.0,4.0,0.0,-0.8146030439485996,-1.018479606785484,-0.9165413253670418,7,0.5,4.191304347826087,1.959661858470061,3.0,0.0,0.0,14.0,0.0,20.0,0.0
23.0,75.0,202.0,4.51,34.5,119.0,1,1,0,3,5.791007758876123,6,1,97.65066329653804,4.7,35.8,30.7,55.0,5.0,0.0,0.5548107218244475,-0.8075570053728415,-0.126373141774197,4,0.2721088435374149,4.25,1.923743070572264,3.0,0.0,0.0,11.0,0.0,14.0,0.0
24.0,78.0,303.0,5.05,30.5,117.0,1,0,0,2,7.204827188617006,6,1,93.17665420105388,-1.0,28.5,29.3,119.0,5.0,0.0,0.7890457786959345,-0.9676417176528228,-0.0892979694784441,3,0.5084745762711864,3.989189189189189,2.0955158885135967,,,,,,,
23.0,73.0,190.0,4.43,31.5,124.0,1,1,0,2,5.332467620854031,3,1,98.66626576748811,-10.2,24.7,36.0,77.0,5.0,0.0,-0.3581317886909173,-1.088787140589698,-0.7234594646403076,7,0.5,4.191304347826087,1.959661858470061,7.0,2.0,0.0,43.0,1.0,63.0,0.0
22.0,,,,,,0,1,0,3,,0,0,,9.5,25.9,17.8,4.0,5.0,0.0,,,,4,0.2857142857142857,4.633333333333334,1.884296874869689,3.0,1.0,0.0,34.0,2.5,55.0,1.0
21.0,78.0,310.0,5.2,28.0,114.0,1,1,0,1,4.826584397658351,5,1,84.79657575014879,20.1,36.3,16.7,48.0,4.0,0.0,0.7890457786959345,-0.3844933977428448,0.2022761904765448,3,0.4615384615384615,3.989189189189189,2.0955158885135967,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22.0,80.0,302.0,4.98,37.0,120.0,1,1,0,3,8.268407029249753,5,1,98.20182697066952,-1.4,34.3,34.8,73.0,5.0,0.0,2.14666866262865,-1.0509486204971052,0.5478600210657725,3,0.5660377358490566,3.989189189189189,2.0955158885135967,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21.0,,,,,,0,1,0,3,,0,0,,16.2,37.7,21.5,12.0,4.0,0.0,,,,6,0.4081632653061224,3.8472222222222223,2.0872498397613364,0.0,1.0,5.5,8.0,7.5,20.0,0.0
23.0,,,,,,0,0,0,3,,0,0,,0.8,28.6,27.9,41.0,5.0,0.0,,,,6,0.4081632653061224,3.8472222222222223,2.0872498397613364,,,,,,,
23.0,76.0,261.0,4.53,38.0,125.0,1,1,0,3,6.478831544775611,3,1,123.95889465006442,14.4,29.3,15.4,44.0,5.0,0.0,1.0112819770821295,0.5751578261100371,0.7932199015960835,9,0.625,3.966666666666667,1.9700843872781693,0.0,3.0,6.0,22.0,9.0,30.0,0.0
24.0,73.0,199.0,,,,1,0,0,3,,0,0,,32.0,38.0,7.6,28.0,5.0,0.0,-0.3581317886909173,-0.8778645391770556,-0.6179981639339864,1,0.0684931506849315,5.833333333333333,1.19341628287971,,,,,,,
24.0,76.0,292.0,4.78,33.5,117.0,1,1,0,3,4.729860099231908,5,1,111.86681174417052,6.8,31.1,26.0,4.0,5.0,0.0,1.0112819770821295,1.3016690087535834,1.156475492917857,6,0.4444444444444444,3.8472222222222223,2.0872498397613364,0.0,5.0,6.0,17.0,9.0,42.0,0.0
22.0,71.0,198.0,4.83,31.0,111.0,1,1,0,3,4.214812232074276,5,1,72.76234094038786,15.0,34.0,19.4,25.0,5.0,0.0,-1.271074299206282,-0.9013003837784604,-1.086187341492371,1,0.0714285714285714,5.833333333333333,1.19341628287971,0.0,0.0,0.0,5.0,0.0,5.0,0.0
22.0,75.0,257.0,4.93,31.0,115.0,1,1,0,3,3.656428033223495,6,1,87.01125683780653,19.5,36.5,17.0,47.0,5.0,0.0,0.5548107218244475,0.4814144477044181,0.5181125847644328,9,0.6428571428571429,3.966666666666667,1.9700843872781693,1.0,0.0,12.5,26.0,13.5,35.0,0.0
23.0,71.0,197.0,4.55,38.0,120.0,1,0,0,3,5.827836340854125,6,1,91.92859766992795,18.1,35.1,16.9,52.0,5.0,0.0,-1.271074299206282,-0.924736228379865,-1.0979052637930735,4,0.2721088435374149,4.557692307692308,1.8933678007611927,,,,,,,
24.0,,,,34.0,124.0,1,1,0,3,9.185729497897276,3,1,,19.2,39.2,20.3,69.0,5.0,0.0,,,,3,0.5357142857142857,3.989189189189189,2.0955158885135967,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,76.0,255.0,,,,1,1,0,3,5.458990564155489,2,0,,15.9,36.8,21.7,10.0,5.0,0.0,1.0112819770821295,0.4345427585016087,0.7229123677918692,9,0.6428571428571429,3.966666666666667,1.9700843872781693,3.0,8.0,8.5,30.0,13.0,54.0,0.0
23.0,76.0,294.0,4.99,30.5,109.0,1,0,0,3,6.334072645685816,5,1,94.83641830565388,19.2,37.3,17.3,41.0,5.0,0.0,-0.5685771052367812,-1.717403843251366,-1.1429904742440735,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
23.0,76.0,245.0,4.72,,,1,1,0,3,4.020694359790813,1,0,98.72521438455124,16.4,40.3,24.7,11.0,5.0,0.0,1.0112819770821295,0.2001843124875615,0.6057331447848456,9,0.6666666666666666,3.966666666666667,1.9700843872781693,2.0,14.0,4.5,23.0,8.0,41.0,0.0
23.0,70.0,179.0,4.34,42.5,136.0,1,1,0,3,7.449618905331901,6,1,100.9076538155966,2.2,25.9,24.1,2.0,5.0,0.0,-1.7275455544639642,-1.34658143120515,-1.537063492834557,7,0.4761904761904761,4.191304347826087,1.959661858470061,2.0,0.0,0.0,38.0,2.0,47.0,0.0
23.0,77.0,313.0,4.99,34.0,114.0,1,1,0,3,7.976014088514596,3,1,100.9653024818696,7.9,33.5,25.3,17.0,5.0,0.0,0.1102343367295766,-0.1345726892099971,-0.0121691762402102,3,0.4615384615384615,3.989189189189189,2.0955158885135967,0.0,0.0,0.0,1.0,0.0,1.0,0.0
23.0,75.0,283.0,4.85,30.5,111.0,1,1,0,3,2.0208854384162542,5,1,102.29383880345762,26.2,45.0,18.2,52.0,5.0,0.0,0.5548107218244475,1.090746407340941,0.8227785645826942,9,0.6666666666666666,3.966666666666667,1.9700843872781693,7.0,7.0,5.0,14.0,6.5,25.0,0.0
23.0,70.0,193.0,4.43,35.5,123.0,1,1,0,3,5.209227724492249,4,1,100.2241541743432,8.6,32.8,24.7,62.0,5.0,0.0,-1.7275455544639642,-1.018479606785484,-1.373012580624724,4,0.273972602739726,4.25,1.923743070572264,2.0,0.0,0.0,39.0,0.5,66.0,0.0
