player,year,team,career_av
Julius Brents,2023,IND,4.0
Junior Colson,2024,LAC,1.0
Justin Eboigbe,2024,LAC,2.0
Justin Rogers,2024,DAL,
Justin Rohrwasser,2020,NWE,
Justin Shaffer,2022,ATL,
Justin Strnad,2020,DEN,14.0
Justin Walley,2025,IND,
K'Lavon Chaisson,2020,JAX,17.0
K'Von Wallace,2020,PHI,9.0
K.J. Britt,2021,TAM,10.0
K.J. Henry,2023,WAS,2.0
KT Leveston,2024,LAR,2.0
Kaiir Elam,2022,BUF,9.0
Kain Medrano,2025,WAS,1.0
Kalen King,2024,GNB,0.0
Kalia Davis,2022,SFO,9.0
Kalon Barnes,2022,CAR,0.0
Kamal Hadden,2024,KAN,0.0
Kamal Martin,2020,GNB,4.0
Kamari Lassiter,2024,HOU,14.0
Kamren Curl,2020,WAS,29.0
Kamren Kinchens,2024,LAR,8.0
Karl Brooks,2023,GNB,8.0
Kary Vincent Jr.,2021,DEN,0.0
Kayvon Thibodeaux,2022,NYG,24.0
Keeanu Benton,2023,PIT,17.0
Kei'Trel Clark,2023,ARI,4.0
Keion White,2023,NWE,12.0
Keith Taylor,2021,CAR,5.0
Kelee Ringo,2023,PHI,6.0
Kelvin Banks,2025,NOR,6.0
Kelvin Joseph,2021,DAL,2.0
Kendall Williamson,2023,CHI,1.0
Kendrick Green,2021,PIT,7.0
Kenneth Grant,2025,MIA,3.0
Kenneth Murray,2020,LAC,32.0
Kenny Robinson Jr.,2020,CAR,1.0
Kenny Willekes,2020,MIN,1.0
Kenyon Green,2022,HOU,8.0
Keondre Coburn,2023,KAN,1.0
Kerby Joseph,2022,DET,26.0
Kevin Winston,2025,TEN,2.0
Khaleke Hudson,2020,WAS,7.0
Khalid Kareem,2020,CIN,2.0
Khalil Davis,2020,TAM,3.0
Khristian Boyd,2024,NOR,0.0
Khyiris Tonga,2021,CHI,9.0
Khyree Jackson,2024,MIN,
Kindle Vildor,2020,CHI,10.0
Kingsley Enagbare,2022,GNB,12.0
Kingsley Suamataia,2024,KAN,10.0
Kiran Amegadjie,2024,CHI,1.0
Kitan Crawford,2025,ARI,1.0
Kitan Oladapo,2024,GNB,2.0
Kobe King,2025,MIN,1.0
Kobee Minor,2025,NWE,0.0
Kobie Turner,2023,LAR,20.0
Kool-Aid McKinstry,2024,NOR,10.0
Korie Black,2025,NYG,1.0
Kris Abrams-Draine,2024,DEN,2.0
Kris Jenkins,2024,CIN,6.0
Kristian Fulton,2020,TEN,18.0
Kwity Paye,2021,IND,32.0
Kyle Dugger,2020,NWE,28.0
Kyle Hamilton,2022,BAL,31.0
Kyle Kennard,2025,LAC,0.0
Kyler Gordon,2022,CHI,12.0
Kyonte Hamilton,2025,HOU,
Kyron Johnson,2022,PHI,1.0
Kyu Blu Kelly,2023,BAL,4.0
L'Jarius Sneed,2020,KAN,22.0
LaDarius Henderson,2024,HOU,
Laiatu Latu,2024,IND,10.0
Landon Dickerson,2021,PHI,36.0
Landon Jackson,2025,BUF,0.0
Larrell Murchison,2020,TEN,7.0
Larry Borom,2021,CHI,17.0
Lathan Ransom,2025,CAR,3.0
Layden Robinson,2024,NWE,4.0
Lecitus Smith,2022,ARI,2.0
Leki Fotu,2020,ARI,11.0
