age,height,weight,combine_invite,has_college_stats,age_estimated,conference_tier,ras_drills_used,ras_reliable,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,td_int_ratio,yards_per_attempt,completion_pct,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rush_att,rush_long,rush_td,rush_yds,rush_ypc
23.0,76.0,235.0,1,0,0,3,5,1,16.7,30.0,15.2,31.0,5.0,0.0,0.8291022774979107,1.8157436781392868,1.3224229778185987,10,4.347826086956522,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
22.0,74.0,214.0,1,1,0,3,0,0,24.1,36.6,10.8,21.0,5.0,0.0,-0.2941975823379641,-0.418887843887015,-0.3565427131124896,10,4.166666666666666,3.788732394366197,2.2735465872743936,2.7777777777777777,7.571022727272727,66.19318181818183,352.0,233.0,0.662,9.0,25.0,2665.0,7.6,42.0,26.0,1.0,-62.0,-1.5
22.0,76.0,216.0,1,1,0,1,0,0,23.9,38.6,14.1,58.0,5.0,0.0,0.8291022774979107,-0.2060657941702244,0.3115182416638431,10,4.166666666666666,3.788732394366197,2.2735465872743936,3.2,7.139931740614334,66.21160409556313,293.0,194.0,0.662,5.0,16.0,2092.0,7.1,124.0,50.0,14.0,721.0,5.8
22.0,73.0,220.0,1,1,0,3,5,1,9.7,34.8,25.2,34.0,5.0,0.0,-0.8558475122559016,0.2195783052633569,-0.3181346034962723,10,5.0,3.788732394366197,2.2735465872743936,5.0,7.862745098039215,60.130718954248366,306.0,184.0,0.601,5.0,25.0,2406.0,7.9,108.0,36.0,8.0,383.0,3.5
21.0,73.0,218.0,1,1,0,3,0,0,6.4,37.8,31.7,42.0,4.0,0.0,-0.8558475122559016,0.0067562555465662,-0.4245456283546677,10,5.2631578947368425,3.788732394366197,2.2735465872743936,2.555555555555556,8.718654434250764,62.69113149847095,327.0,205.0,0.627,9.0,23.0,2851.0,8.7,170.0,62.0,11.0,825.0,4.9
25.0,,,0,0,0,1,0,0,,,,,5.0,0.0,,,,10,4.166666666666666,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
23.0,74.0,212.0,1,1,0,3,0,0,8.1,33.3,23.5,73.0,5.0,0.0,-0.2941975823379641,-0.6317098936038057,-0.4629537379708849,10,4.166666666666666,3.788732394366197,2.2735465872743936,4.375,8.647577092511014,74.22907488986785,454.0,337.0,0.742,8.0,35.0,3926.0,8.6,91.0,17.0,4.0,-16.0,-0.2
25.0,74.0,217.0,1,1,0,3,5,1,-19.7,22.3,40.6,34.0,5.0,0.0,-0.2941975823379641,-0.099654769311829,-0.1969261758248966,10,5.2631578947368425,3.788732394366197,2.2735465872743936,2.25,9.04390243902439,68.78048780487805,205.0,141.0,0.688,4.0,9.0,1854.0,9.0,42.0,26.0,4.0,-6.0,-0.1
23.0,72.0,211.0,1,1,0,3,5,1,4.3,28.2,25.6,14.0,5.0,0.0,-1.417497442173839,-0.7381209184622011,-1.07780918031802,10,4.761904761904762,3.788732394366197,2.2735465872743936,2.375,7.984962406015038,68.92230576441104,399.0,275.0,0.689,8.0,19.0,3186.0,8.0,98.0,28.0,4.0,102.0,1.0
25.0,71.0,192.0,1,1,0,3,4,1,35.3,37.2,3.7,8.0,5.0,0.0,-1.9791473720917765,-2.759930390771712,-2.3695388814317444,10,4.166666666666666,3.788732394366197,2.2735465872743936,3.333333333333333,8.6489898989899,67.92929292929293,396.0,269.0,0.679,6.0,20.0,3425.0,8.6,47.0,64.0,7.0,184.0,3.9
23.0,78.0,231.0,1,1,0,3,4,1,-7.2,25.6,34.2,29.0,5.0,0.0,1.9524021373337848,1.3900995787057056,1.6712508580197456,10,4.166666666666666,3.788732394366197,2.2735465872743936,1.625,6.917840375586854,61.97183098591549,426.0,264.0,0.62,8.0,13.0,2947.0,6.9,74.0,19.0,2.0,-90.0,-1.2
,,,0,1,0,1,0,0,,,,,,,,,,10,4.166666666666666,3.788732394366197,2.2735465872743936,14.0,9.43846153846154,70.38461538461539,260.0,183.0,0.704,2.0,28.0,2454.0,9.4,90.0,76.0,12.0,777.0,8.6
23.0,,,0,1,0,3,0,0,3.5,33.1,28.7,11.0,5.0,0.0,,,,10,4.347826086956522,3.788732394366197,2.2735465872743936,1.8,6.918518518518519,59.25925925925925,135.0,80.0,0.593,5.0,9.0,934.0,6.9,66.0,46.0,3.0,310.0,4.7
21.0,77.0,213.0,1,1,0,3,0,0,26.1,42.6,16.7,20.0,4.0,0.0,1.390752207415848,-0.5252988687454104,0.4327266693352188,10,5.0,3.788732394366197,2.2735465872743936,5.5,9.625874125874128,69.23076923076923,286.0,198.0,0.692,4.0,22.0,2753.0,9.6,58.0,34.0,7.0,211.0,3.6
21.0,75.0,224.0,1,0,0,1,0,0,,,,,4.0,0.0,0.2674523475799732,0.6452224046969383,0.4563373761384557,10,5.0,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
22.0,72.0,217.0,1,1,0,3,0,0,32.4,47.7,14.6,40.0,5.0,0.0,-1.417497442173839,-0.099654769311829,-0.7585761057428341,10,4.347826086956522,3.788732394366197,2.2735465872743936,11.0,11.26984126984127,71.42857142857143,252.0,180.0,0.714,3.0,33.0,2840.0,11.3,23.0,25.0,2.0,17.0,0.7
25.0,77.0,219.0,1,1,0,3,3,1,13.6,37.7,22.9,23.0,5.0,0.0,1.390752207415848,0.1131672804049616,0.7519597439104049,10,4.166666666666666,3.788732394366197,2.2735465872743936,3.8333333333333335,8.2133676092545,62.724935732647815,389.0,244.0,0.627,6.0,23.0,3195.0,8.2,42.0,46.0,1.0,19.0,0.5
23.0,76.0,236.0,1,0,0,2,4,1,2.3,27.2,23.9,121.0,5.0,0.0,0.8291022774979107,1.9221547029976824,1.3756284902477964,10,4.166666666666666,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
24.0,76.0,229.0,1,1,0,3,2,0,13.0,23.2,9.9,16.0,5.0,0.0,0.8291022774979107,1.1772775289889148,1.0031899032434128,10,4.166666666666666,3.788732394366197,2.2735465872743936,1.9,8.501766784452297,65.37102473498233,283.0,185.0,0.654,10.0,19.0,2406.0,8.5,73.0,24.0,2.0,-103.0,-1.4
22.0,74.0,214.0,1,1,0,3,0,0,19.2,39.2,20.3,69.0,5.0,0.0,-0.2941975823379641,-0.418887843887015,-0.3565427131124896,10,5.0,3.788732394366197,2.2735465872743936,9.666666666666666,10.789297658862877,72.90969899665552,299.0,218.0,0.729,3.0,29.0,3226.0,10.8,64.0,33.0,8.0,253.0,4.0
