age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
24.0,78.0,315.0,5.27,25.0,104.0,1,0,0,1,1.874080257855068,6,1,81.67668233230523,,,,,5.0,0.0,0.7890457786959345,0.032041116478568,0.4105434475872512,8,1.3559322033898304,3.631578947368421,1.9785478244406585
23.0,77.0,305.0,5.29,29.0,113.0,1,0,0,2,3.832935793342889,6,1,77.89456329928205,-11.0,26.0,37.1,73.0,5.0,0.0,0.1102343367295766,-0.8010279119642576,-0.3453967876173404,8,1.4285714285714284,3.631578947368421,1.9785478244406585
23.0,74.0,327.0,5.24,30.0,108.0,1,1,0,3,4.553368787573937,4,1,86.74662768415477,33.1,48.9,17.7,3.0,5.0,0.0,-1.926199989169497,1.031723950609959,-0.447238019279769,3,0.5263157894736842,4.724137931034483,1.7091466484798348
22.0,80.0,384.0,,,,1,0,0,3,3.2923764798903874,1,0,,14.4,29.3,15.4,44.0,5.0,0.0,2.14666866262865,5.780217412734065,3.963443037681357,8,1.3559322033898304,3.631578947368421,1.9785478244406585
24.0,76.0,306.0,4.91,29.5,110.0,1,0,0,1,5.600062055418382,6,1,105.29929261116742,,,,,5.0,0.0,-0.5685771052367812,-0.717721009119975,-0.6431490571783781,3,0.5263157894736842,4.724137931034483,1.7091466484798348
22.0,77.0,322.0,5.31,25.0,99.0,1,1,0,3,1.1512779610277244,5,1,81.00424584004881,13.4,35.1,22.3,32.0,5.0,0.0,0.1102343367295766,0.615189436388546,0.3627118865590613,8,1.3559322033898304,3.631578947368421,1.9785478244406585
23.0,77.0,301.0,5.16,32.0,112.0,1,0,0,1,6.241378738790447,6,1,84.91759480142053,,,,,5.0,0.0,0.1102343367295766,-1.134255523341388,-0.5120105933059057,8,1.4285714285714284,3.631578947368421,1.9785478244406585
22.0,75.0,299.0,5.11,33.0,109.0,1,0,0,3,7.112960034810748,6,1,87.70363293357053,1.6,30.0,28.4,61.0,5.0,0.0,-1.247388547203139,-1.3008693290299531,-1.274128938116546,3,0.5357142857142857,4.3125,1.8874586088176872
23.0,76.0,308.0,5.05,,,1,0,0,1,6.855233291163717,3,1,94.7142227522264,,,,,5.0,0.0,-0.5685771052367812,-0.55110720343141,-0.5598421543340956,3,0.588235294117647,4.3125,1.8874586088176872
22.0,,,,,,0,0,0,2,,0,0,,18.0,39.5,23.4,71.0,5.0,0.0,,,,3,0.5263157894736842,4.3125,1.8874586088176872
