age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,dominator_rating,team_total_yards,rush_att,rush_long,rush_td,rush_yds,rush_ypc,rec,rec_long,rec_td,rec_yds,rec_ypr
21.0,70.0,217.0,4.47,35.5,122.0,1,1,0,3,4.641756552488308,5,1,108.7075322425963,24.0,37.8,15.5,17.0,4.0,0.0,-0.9389745791925392,0.1724955446480425,-0.3832395172722484,2,0.2666666666666666,4.434426229508197,1.7860233537478658,24.45953189208505,5597.0,231.0,50.0,14.0,1144.0,5.0,30.0,44.0,4.0,225.0,7.5
23.0,70.0,219.0,,39.5,123.0,1,1,0,3,6.455680793469227,2,0,,-2.8,24.4,29.0,50.0,5.0,0.0,-0.9389745791925392,0.2573937785715459,-0.3407904003104967,2,0.2439024390243902,4.434426229508197,1.7860233537478658,48.83666274970623,4255.0,263.0,53.0,19.0,1572.0,6.0,37.0,66.0,3.0,506.0,13.7
23.0,76.0,242.0,,,,1,1,0,3,,0,0,,30.3,42.9,14.2,9.0,5.0,0.0,1.0835825268725572,1.2337234686918346,1.158652997782196,5,0.6578947368421052,4.105882352941176,1.7184123999990772,5.206318504190845,6204.0,,,,,,25.0,38.0,3.0,323.0,12.9
23.0,,,,,,0,1,0,3,,0,0,,-2.5,21.6,24.1,60.0,5.0,0.0,,,,7,0.9210526315789472,3.888324873096447,2.0498172482106414,14.279624893435637,4692.0,,,,,,49.0,80.0,4.0,670.0,13.7
23.0,75.0,213.0,4.54,37.0,128.0,1,1,0,3,5.84589151810648,3,1,100.27350314491092,25.2,47.3,22.6,7.0,5.0,0.0,0.7464896758617078,0.0026990768010358,0.3745943763313718,7,0.9210526315789472,3.888324873096447,2.0498172482106414,6.103629976580796,6832.0,,,,,,37.0,61.0,3.0,417.0,11.3
21.0,74.0,198.0,4.5,34.5,124.0,1,1,0,3,3.749480701075517,4,1,96.57064471879286,22.9,46.1,24.9,21.0,4.0,0.0,0.4093968248508584,-0.6340376776252394,-0.1123204263871905,7,0.9333333333333332,3.888324873096447,2.0498172482106414,16.31893687707641,7525.0,9.0,21.0,1.0,20.0,2.2,58.0,71.0,14.0,1208.0,20.8
24.0,71.0,175.0,4.43,36.5,124.0,1,1,0,3,4.811893922777858,4,1,90.87682373321276,7.7,31.6,22.4,17.0,5.0,0.0,-0.6018817281816898,-1.610367367745528,-1.106124547963609,7,0.9210526315789472,3.888324873096447,2.0498172482106414,24.40071556350626,5590.0,2.0,2.0,0.0,3.0,1.5,110.0,60.0,12.0,1361.0,12.4
23.0,79.0,252.0,,,,1,0,0,3,,0,0,,11.4,23.6,14.4,23.0,5.0,0.0,2.094861079905105,1.6582146383093517,1.8765378591072284,5,0.625,4.105882352941176,1.7184123999990772,0.0,4252.0,,,,,,,,,,
22.0,77.0,244.0,4.78,34.5,120.0,1,1,0,3,3.0275029565351685,6,1,93.47774679992332,26.8,34.2,10.0,12.0,5.0,0.0,1.4206753778834067,1.318621702615338,1.3696485402493723,5,0.6666666666666666,4.105882352941176,1.7184123999990772,1.3653071941186767,5713.0,,,,,,9.0,20.0,1.0,78.0,8.7
23.0,70.0,209.0,4.43,40.0,127.0,1,1,0,3,7.260851179801499,3,1,108.53289234423694,15.9,20.6,5.5,46.0,5.0,0.0,-0.9389745791925392,-0.1670973910459709,-0.5530359851192551,2,0.2631578947368421,4.434426229508197,1.7860233537478658,38.41289269685843,4902.0,328.0,49.0,10.0,1643.0,5.0,27.0,43.0,3.0,240.0,8.9
